Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Tax status,Tax class,In stock?,Stock,Backorders allowed?,Sold individually?,Allow customer reviews?,Regular price,Categories,Tags,Images,Parent,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Meta: _fluff_homepage_view,Meta: _fluff_spec_fabric,Meta: _fluff_spec_set,Meta: _fluff_spec_fit,Meta: _fluff_spec_top,Meta: _fluff_spec_bottom,Meta: _fluff_spec_details,Meta: _fluff_spec_season,Meta: _fluff_spec_care,Meta: _trendyol,Meta: _Product_Link
variation,1781423781-72-L,Off-White Cotton Pajama - L,1,0,visible,,,taxable,parent,1,3,0,0,0,1250.00,,,,1781423781-72,Size,L,,1,,,,,,,,,,,
variation,1781423781-72-XL,Off-White Cotton Pajama - XL,1,0,visible,,,taxable,parent,1,3,0,0,0,1250.00,,,,1781423781-72,Size,XL,,1,,,,,,,,,,,
variable,1789322516-267,Seasonal Black Cotton Pajama,1,0,visible,A versatile black cotton pajama set finished with a feminine bow detail for polished comfort across changing seasons.,"A timeless black pajama set designed for nights when comfort still needs to look put together. The cotton feel keeps it easy and wearable, while the bow detail softens the clean dark palette with a feminine FLUFF touch. Ideal for transitional weather, travel, lounging and everyday sleepwear rotation.",taxable,,1,,0,0,1,1250.00,"Women Sleepwear, Pajama-Pants-Set","Cotton, Bow Detail, Black, Seasonal, Relaxed Fit, Lounge Essential, Minimal","https://qamareen.vitaldc.com/wp-content/uploads/2026/09/1789322516-267-1.webp, https://qamareen.vitaldc.com/wp-content/uploads/2026/09/1789322516-267-2.webp, https://qamareen.vitaldc.com/wp-content/uploads/2026/09/1789322516-267-3.webp, https://qamareen.vitaldc.com/wp-content/uploads/2026/09/1789322516-267-4.webp, https://qamareen.vitaldc.com/wp-content/uploads/2026/09/1789322516-267-5.webp",,Size,"XS, S, M, L, XL",1,1,Seasonal Edit,Cotton,2-piece pajama set,Relaxed,Coordinated seasonal top,Coordinated pajama pants,Bow detail,Seasonal / transitional,Follow garment care label,https://www.trendyol.com/bella-notte/mevsimlik-siyah-pamuklu-fiyonk-detayli-pijama-takimi-p-896069339,https://www.trendyol.com/bella-notte/mevsimlik-siyah-pamuklu-fiyonk-detayli-pijama-takimi-p-896069339
variation,1789322516-267-XS,Seasonal Black Cotton Pajama - XS,1,0,visible,,,taxable,parent,1,9,0,0,0,1250.00,,,,1789322516-267,Size,XS,,1,,,,,,,,,,,
variation,1789322516-267-S,Seasonal Black Cotton Pajama - S,1,0,visible,,,taxable,parent,0,0,0,0,0,1250.00,,,,1789322516-267,Size,S,,1,,,,,,,,,,,
variation,1789322516-267-M,Seasonal Black Cotton Pajama - M,1,0,visible,,,taxable,parent,1,2,0,0,0,1250.00,,,,1789322516-267,Size,M,,1,,,,,,,,,,,
variation,1789322516-267-L,Seasonal Black Cotton Pajama - L,1,0,visible,,,taxable,parent,1,3,0,0,0,1250.00,,,,1789322516-267,Size,L,,1,,,,,,,,,,,
variation,1789322516-267-XL,Seasonal Black Cotton Pajama - XL,1,0,visible,,,taxable,parent,1,3,0,0,0,1250.00,,,,1789322516-267,Size,XL,,1,,,,,,,,,,,
variable,1789322513-266,Embroidered Pink Cotton Pajama,1,0,visible,"A soft pink cotton pajama set with delicate heart embroidery, made for romantic nights, cozy lounging and slow mornings.","A sweet everyday set with a premium romantic mood. This pink cotton pajama pairs an easy, comfortable silhouette with delicate heart embroidery for a playful finish that still feels polished. Wear it for soft evenings at home, weekend mornings or whenever your sleepwear deserves a little extra charm.",taxable,,1,,0,0,1,1250.00,"Women Sleepwear, Pajama-Pants-Set","Cotton, Embroidered, Heart Detail, Pink, Romantic, Relaxed Fit, Lounge Essential","https://qamareen.vitaldc.com/wp-content/uploads/2026/09/1789322513-266-1.webp, https://qamareen.vitaldc.com/wp-content/uploads/2026/09/1789322513-266-2.webp, https://qamareen.vitaldc.com/wp-content/uploads/2026/09/1789322513-266-3.webp, https://qamareen.vitaldc.com/wp-content/uploads/2026/09/1789322513-266-4.webp, https://qamareen.vitaldc.com/wp-content/uploads/2026/09/1789322513-266-5.webp",,Size,"XS, S, M, L, XL",1,1,Romantic Details,Cotton,2-piece pajama set,Relaxed,Embroidered detail,Coordinated pajama pants,Heart embroidery,All-season / transitional,Follow garment care label,https://www.trendyol.com/bella-notte/nakisli-pembe-pamuklu-kalp-detayli-pijama-takimi-p-1113098840,https://www.trendyol.com/bella-notte/nakisli-pembe-pamuklu-kalp-detayli-pijama-takimi-p-1113098840
variation,1789322513-266-XS,Embroidered Pink Cotton Pajama - XS,1,0,visible,,,taxable,parent,1,9,0,0,0,1250.00,,,,1789322513-266,Size,XS,,1,,,,,,,,,,,
variation,1789322513-266-S,Embroidered Pink Cotton Pajama - S,1,0,visible,,,taxable,parent,0,0,0,0,0,1250.00,,,,1789322513-266,Size,S,,1,,,,,,,,,,,
variation,1789322513-266-M,Embroidered Pink Cotton Pajama - M,1,0,visible,,,taxable,parent,1,2,0,0,0,1250.00,,,,1789322513-266,Size,M,,1,,,,,,,,,,,
variation,1789322513-266-L,Embroidered Pink Cotton Pajama - L,1,0,visible,,,taxable,parent,1,3,0,0,0,1250.00,,,,1789322513-266,Size,L,,1,,,,,,,,,,,
variation,1789322513-266-XL,Embroidered Pink Cotton Pajama - XL,1,0,visible,,,taxable,parent,1,3,0,0,0,1250.00,,,,1789322513-266,Size,XL,,1,,,,,,,,,,,
variable,1781423734-55,Dried Rose Cotton Pajama,1,0,visible,"A muted dried-rose cotton pajama set with a delicate bow detail for soft, feminine everyday lounging.","Warm, flattering and easy to wear, this dried-rose cotton pajama set is made for effortless comfort at home. The soft muted tone feels sophisticated while the bow detail adds a feminine finishing touch. A versatile choice for sleep, lounging and relaxed mornings with a polished FLUFF mood.",taxable,,1,,0,0,1,1250.00,Pajama-Pants-Set,"Cotton, Bow Detail, Dried Rose, Long Set, Relaxed Fit, Romantic, Lounge Essential","https://qamareen.vitaldc.com/wp-content/uploads/2026/09/1781423734-55-1.webp, https://qamareen.vitaldc.com/wp-content/uploads/2026/09/1781423734-55-2.webp, https://qamareen.vitaldc.com/wp-content/uploads/2026/09/1781423734-55-3.webp, https://qamareen.vitaldc.com/wp-content/uploads/2026/09/1781423734-55-4.webp, https://qamareen.vitaldc.com/wp-content/uploads/2026/09/1781423734-55-5.webp",,Size,"XS, S, M, L, XL",1,1,Cotton Essentials,Cotton,2-piece pajama set,Relaxed,Coordinated cotton top,Coordinated pajama pants,Bow detail,All-season / transitional,Follow garment care label,https://www.trendyol.com/bella-notte/gul-kurusu-pamuklu-fiyonk-detayli-pijama-takimi-p-867367397,https://www.trendyol.com/bella-notte/gul-kurusu-pamuklu-fiyonk-detayli-pijama-takimi-p-867367397
variation,1781423734-55-XS,Dried Rose Cotton Pajama - XS,1,0,visible,,,taxable,parent,1,9,0,0,0,1250.00,,,,1781423734-55,Size,XS,,1,,,,,,,,,,,
variation,1781423734-55-S,Dried Rose Cotton Pajama - S,1,0,visible,,,taxable,parent,0,0,0,0,0,1250.00,,,,1781423734-55,Size,S,,1,,,,,,,,,,,
variation,1781423734-55-M,Dried Rose Cotton Pajama - M,1,0,visible,,,taxable,parent,1,2,0,0,0,1250.00,,,,1781423734-55,Size,M,,1,,,,,,,,,,,
variation,1781423734-55-L,Dried Rose Cotton Pajama - L,1,0,visible,,,taxable,parent,1,3,0,0,0,1250.00,,,,1781423734-55,Size,L,,1,,,,,,,,,,,
variation,1781423734-55-XL,Dried Rose Cotton Pajama - XL,1,0,visible,,,taxable,parent,1,3,0,0,0,1250.00,,,,1781423734-55,Size,XL,,1,,,,,,,,,,,
variable,1781423764-66,Black Soft Cotton Long Pajama,1,0,visible,"A soft black cotton long pajama set with bow detailing, combining everyday comfort with a clean feminine finish.","Your go-to black lounge set, softened with a feminine twist. This long pajama set is designed around a soft cotton feel and an easy silhouette for nights, mornings and everything in between. A subtle bow detail lifts the classic black colorway, making it feel more special while staying effortlessly wearable.",taxable,,1,,0,0,1,1250.00,Pajama-Pants-Set,"Soft Cotton, Black, Bow Detail, Long Set, Relaxed Fit, Soft Lounge, Lounge Essential","https://qamareen.vitaldc.com/wp-content/uploads/2026/09/1781423764-66-1.webp, https://qamareen.vitaldc.com/wp-content/uploads/2026/09/1781423764-66-2.webp, https://qamareen.vitaldc.com/wp-content/uploads/2026/09/1781423764-66-3.webp, https://qamareen.vitaldc.com/wp-content/uploads/2026/09/1781423764-66-4.webp, https://qamareen.vitaldc.com/wp-content/uploads/2026/09/1781423764-66-5.webp, https://qamareen.vitaldc.com/wp-content/uploads/2026/09/1781423764-66-6.webp, https://qamareen.vitaldc.com/wp-content/uploads/2026/09/1781423764-66-7.webp, https://qamareen.vitaldc.com/wp-content/uploads/2026/09/1781423764-66-8.webp, https://qamareen.vitaldc.com/wp-content/uploads/2026/09/1781423764-66-9.webp",,Size,"XS, S, M, L, XL",1,1,Soft Lounge,Soft cotton,2-piece long pajama set,Relaxed,Long pajama top,Long-length pants,Bow detail,Cooler nights / all-season layering,Follow garment care label,https://www.trendyol.com/bella-notte/siyah-yumusak-pamuklu-fiyonk-detayli-uzun-pijama-takimi-p-1027374354,https://www.trendyol.com/bella-notte/siyah-yumusak-pamuklu-fiyonk-detayli-uzun-pijama-takimi-p-1027374354
variation,1781423764-66-XS,Black Soft Cotton Long Pajama - XS,1,0,visible,,,taxable,parent,1,9,0,0,0,1250.00,,,,1781423764-66,Size,XS,,1,,,,,,,,,,,
variation,1781423764-66-S,Black Soft Cotton Long Pajama - S,1,0,visible,,,taxable,parent,0,0,0,0,0,1250.00,,,,1781423764-66,Size,S,,1,,,,,,,,,,,
variation,1781423764-66-M,Black Soft Cotton Long Pajama - M,1,0,visible,,,taxable,parent,1,2,0,0,0,1250.00,,,,1781423764-66,Size,M,,1,,,,,,,,,,,
variation,1781423764-66-L,Black Soft Cotton Long Pajama - L,1,0,visible,,,taxable,parent,1,3,0,0,0,1250.00,,,,1781423764-66,Size,L,,1,,,,,,,,,,,
variation,1781423764-66-XL,Black Soft Cotton Long Pajama - XL,1,0,visible,,,taxable,parent,1,3,0,0,0,1250.00,,,,1781423764-66,Size,XL,,1,,,,,,,,,,,
variable,1781423664-33,Navy Blue Soft Cotton Long Pajama,1,0,visible,"A navy soft-cotton long pajama set with subtle bow detailing for a calm, polished and timeless lounge look.","Classic navy meets soft, everyday comfort in this long pajama set. The deep blue palette gives it a refined feel, while subtle bow detailing keeps the look feminine and relaxed. Designed for restful nights and slow mornings, it is an easy FLUFF essential with timeless appeal.",taxable,,1,,0,0,1,1250.00,Pajama-Pants-Set,"Soft Cotton, Navy, Bow Detail, Long Set, Relaxed Fit, Soft Lounge, Timeless","https://qamareen.vitaldc.com/wp-content/uploads/2026/09/1781423664-33-1.webp, https://qamareen.vitaldc.com/wp-content/uploads/2026/09/1781423664-33-2.webp, https://qamareen.vitaldc.com/wp-content/uploads/2026/09/1781423664-33-3.webp, https://qamareen.vitaldc.com/wp-content/uploads/2026/09/1781423664-33-4.webp, https://qamareen.vitaldc.com/wp-content/uploads/2026/09/1781423664-33-5.webp",,Size,"XS, S, M, L, XL",1,1,Soft Lounge,Soft cotton,2-piece long pajama set,Relaxed,Long pajama top,Long-length pants,Bow detail,Cooler nights / all-season layering,Follow garment care label,https://www.trendyol.com/bella-notte/lacivert-yumusak-pamuklu-fiyonk-detayli-uzun-pijama-takimi-p-1106633520,https://www.trendyol.com/bella-notte/lacivert-yumusak-pamuklu-fiyonk-detayli-uzun-pijama-takimi-p-1106633520
variation,1781423664-33-XS,Navy Blue Soft Cotton Long Pajama - XS,1,0,visible,,,taxable,parent,1,9,0,0,0,1250.00,,,,1781423664-33,Size,XS,,1,,,,,,,,,,,
variation,1781423664-33-S,Navy Blue Soft Cotton Long Pajama - S,1,0,visible,,,taxable,parent,0,0,0,0,0,1250.00,,,,1781423664-33,Size,S,,1,,,,,,,,,,,
variation,1781423664-33-M,Navy Blue Soft Cotton Long Pajama - M,1,0,visible,,,taxable,parent,1,2,0,0,0,1250.00,,,,1781423664-33,Size,M,,1,,,,,,,,,,,
variation,1781423664-33-L,Navy Blue Soft Cotton Long Pajama - L,1,0,visible,,,taxable,parent,1,3,0,0,0,1250.00,,,,1781423664-33,Size,L,,1,,,,,,,,,,,
variation,1781423664-33-XL,Navy Blue Soft Cotton Long Pajama - XL,1,0,visible,,,taxable,parent,1,3,0,0,0,1250.00,,,,1781423664-33,Size,XL,,1,,,,,,,,,,,
variable,1781423850-97,Pink Soft Cotton Long Pajama,1,0,visible,"A soft pink cotton long pajama set with bow detailing, designed for cozy nights with an unmistakably feminine mood.","Soft pink, gentle details and an easy long silhouette make this pajama set a natural FLUFF favorite. The soft cotton feel is made for winding down, while the bow detail adds a sweet feminine signature. Ideal for relaxed evenings, self-care nights and cozy weekend mornings.",taxable,,1,,0,0,1,1250.00,Pajama-Pants-Set,"Soft Cotton, Pink, Bow Detail, Long Set, Relaxed Fit, Romantic, Soft Lounge","https://qamareen.vitaldc.com/wp-content/uploads/2026/09/1781423850-97-1.webp, https://qamareen.vitaldc.com/wp-content/uploads/2026/09/1781423850-97-2.webp, https://qamareen.vitaldc.com/wp-content/uploads/2026/09/1781423850-97-3.webp, https://qamareen.vitaldc.com/wp-content/uploads/2026/09/1781423850-97-4.webp, https://qamareen.vitaldc.com/wp-content/uploads/2026/09/1781423850-97-5.webp",,Size,"XS, S, M, L, XL",1,1,Soft Lounge,Soft cotton,2-piece long pajama set,Relaxed,Long pajama top,Long-length pants,Bow detail,Cooler nights / all-season layering,Follow garment care label,https://www.trendyol.com/bella-notte/pembe-yumusak-pamuklu-fiyonk-detayli-uzun-pijama-takimi-p-879237945,https://www.trendyol.com/bella-notte/pembe-yumusak-pamuklu-fiyonk-detayli-uzun-pijama-takimi-p-879237945
variation,1781423850-97-XS,Pink Soft Cotton Long Pajama - XS,1,0,visible,,,taxable,parent,1,9,0,0,0,1250.00,,,,1781423850-97,Size,XS,,1,,,,,,,,,,,
variation,1781423850-97-S,Pink Soft Cotton Long Pajama - S,1,0,visible,,,taxable,parent,0,0,0,0,0,1250.00,,,,1781423850-97,Size,S,,1,,,,,,,,,,,
variation,1781423850-97-M,Pink Soft Cotton Long Pajama - M,1,0,visible,,,taxable,parent,1,2,0,0,0,1250.00,,,,1781423850-97,Size,M,,1,,,,,,,,,,,
variation,1781423850-97-L,Pink Soft Cotton Long Pajama - L,1,0,visible,,,taxable,parent,1,3,0,0,0,1250.00,,,,1781423850-97,Size,L,,1,,,,,,,,,,,
variation,1781423850-97-XL,Pink Soft Cotton Long Pajama - XL,1,0,visible,,,taxable,parent,1,3,0,0,0,1250.00,,,,1781423850-97,Size,XL,,1,,,,,,,,,,,
variable,1781423742-58,Pink Long-Sleeved Pajama,1,0,visible,A feminine pink long-sleeved pajama set with lace collar and decorative button details for an elevated romantic look.,"Designed for nights that call for something a little more special, this pink long-sleeved pajama set pairs comfort with romantic detailing. A delicate lace collar and decorative buttons bring a refined vintage-inspired touch, while the coordinated silhouette keeps it relaxed enough for everyday wear.",taxable,,1,,0,0,1,1299.00,Pajama-Pants-Set,"Pink, Long Sleeve, Lace Detail, Decorative Buttons, Romantic, Long Set, Giftable","https://qamareen.vitaldc.com/wp-content/uploads/2026/09/1781423742-58-1.webp, https://qamareen.vitaldc.com/wp-content/uploads/2026/09/1781423742-58-2.webp, https://qamareen.vitaldc.com/wp-content/uploads/2026/09/1781423742-58-3.webp, https://qamareen.vitaldc.com/wp-content/uploads/2026/09/1781423742-58-4.webp, https://qamareen.vitaldc.com/wp-content/uploads/2026/09/1781423742-58-5.webp",,Size,"XS, S, M, L, XL",1,1,Romantic Details,,2-piece pajama set,Relaxed,"Long sleeves, detailed collar",Coordinated pajama pants,"Lace collar, decorative buttons",Cooler nights / transitional,Follow garment care label,https://www.trendyol.com/bella-notte/pembe-dantel-yaka-detayli-sus-dugmeli-uzun-kollu-pijama-takimi-p-1106621401,https://www.trendyol.com/bella-notte/pembe-dantel-yaka-detayli-sus-dugmeli-uzun-kollu-pijama-takimi-p-1106621401
variation,1781423742-58-XS,Pink Long-Sleeved Pajama - XS,1,0,visible,,,taxable,parent,1,9,0,0,0,1299.00,,,,1781423742-58,Size,XS,,1,,,,,,,,,,,
variation,1781423742-58-S,Pink Long-Sleeved Pajama - S,1,0,visible,,,taxable,parent,0,0,0,0,0,1299.00,,,,1781423742-58,Size,S,,1,,,,,,,,,,,
variation,1781423742-58-M,Pink Long-Sleeved Pajama - M,1,0,visible,,,taxable,parent,0,0,0,0,0,1299.00,,,,1781423742-58,Size,M,,1,,,,,,,,,,,
variation,1781423742-58-L,Pink Long-Sleeved Pajama - L,1,0,visible,,,taxable,parent,1,3,0,0,0,1299.00,,,,1781423742-58,Size,L,,1,,,,,,,,,,,
variation,1781423742-58-XL,Pink Long-Sleeved Pajama - XL,1,0,visible,,,taxable,parent,1,3,0,0,0,1299.00,,,,1781423742-58,Size,XL,,1,,,,,,,,,,,
variable,1781423942-133,Floral Patterned Ribbed Cotton Long Pajama,1,0,visible,"A floral ribbed cotton long pajama set that blends soft texture, feminine print and cozy everyday comfort.","Texture meets print in this floral ribbed cotton pajama set. The ribbed finish gives the fabric visual depth and a cozy feel, while the floral pattern keeps the mood light and feminine. The long silhouette makes it an easy choice for relaxed evenings, cooler nights and slow weekend mornings.",taxable,,1,,0,0,1,1250.00,Pajama-Pants-Set,"Ribbed Cotton, Floral, Long Set, Printed, Relaxed Fit, Cozy, Feminine","https://qamareen.vitaldc.com/wp-content/uploads/2026/09/1781423942-133-1.webp, https://qamareen.vitaldc.com/wp-content/uploads/2026/09/1781423942-133-2.webp, https://qamareen.vitaldc.com/wp-content/uploads/2026/09/1781423942-133-3.webp, https://qamareen.vitaldc.com/wp-content/uploads/2026/09/1781423942-133-4.webp, https://qamareen.vitaldc.com/wp-content/uploads/2026/09/1781423942-133-5.webp",,Size,"XS, S, M, L, XL",1,1,Ribbed Comfort,Ribbed cotton,2-piece long pajama set,Comfortable / relaxed,Floral-patterned long top,Long-length pants,"Ribbed texture, floral print",Cooler nights / transitional,Follow garment care label,https://www.trendyol.com/bella-notte/cicek-desenli-fitilli-pamuklu-uzun-pijama-takimi-p-870030267,https://www.trendyol.com/bella-notte/cicek-desenli-fitilli-pamuklu-uzun-pijama-takimi-p-870030267
variation,1781423942-133-XS,Floral Patterned Ribbed Cotton Long Pajama - XS,1,0,visible,,,taxable,parent,1,9,0,0,0,1250.00,,,,1781423942-133,Size,XS,,1,,,,,,,,,,,
variation,1781423942-133-S,Floral Patterned Ribbed Cotton Long Pajama - S,1,0,visible,,,taxable,parent,0,0,0,0,0,1250.00,,,,1781423942-133,Size,S,,1,,,,,,,,,,,
variation,1781423942-133-M,Floral Patterned Ribbed Cotton Long Pajama - M,1,0,visible,,,taxable,parent,1,2,0,0,0,1250.00,,,,1781423942-133,Size,M,,1,,,,,,,,,,,
variation,1781423942-133-L,Floral Patterned Ribbed Cotton Long Pajama - L,1,0,visible,,,taxable,parent,0,0,0,0,0,1250.00,,,,1781423942-133,Size,L,,1,,,,,,,,,,,
variation,1781423942-133-XL,Floral Patterned Ribbed Cotton Long Pajama - XL,1,0,visible,,,taxable,parent,0,0,0,0,0,1250.00,,,,1781423942-133,Size,XL,,1,,,,,,,,,,,
variable,1781424171-218,Pink Striped Pajama,1,0,visible,"A playful pink striped pajama set with bow print detailing, bringing a fresh feminine twist to everyday sleepwear.","Playful without losing its premium feel, this pink striped pajama set combines a classic stripe with charming bow-print detail. The result is a cheerful, feminine set made for relaxed nights and bright mornings. Easy to style, easy to gift and full of FLUFF personality.",taxable,,1,,0,0,1,1350.00,Pajama-Pants-Set,"Pink, Striped, Bow Print, Printed, Relaxed Fit, Playful, Giftable","https://qamareen.vitaldc.com/wp-content/uploads/2026/09/1781424171-218-1.webp, https://qamareen.vitaldc.com/wp-content/uploads/2026/09/1781424171-218-2.webp, https://qamareen.vitaldc.com/wp-content/uploads/2026/09/1781424171-218-3.webp, https://qamareen.vitaldc.com/wp-content/uploads/2026/09/1781424171-218-4.webp, https://qamareen.vitaldc.com/wp-content/uploads/2026/09/1781424171-218-5.webp",,Size,"XS, S, M, L, XL",1,1,Prints & Florals,,2-piece pajama set,Relaxed,Coordinated striped top,Coordinated pajama pants,"Stripe pattern, bow print",All-season / transitional,Follow garment care label,https://www.trendyol.com/bella-notte/pembe-fiyonk-baskili-cizgili-pijama-takimi-p-1067358397,https://www.trendyol.com/bella-notte/pembe-fiyonk-baskili-cizgili-pijama-takimi-p-1067358397
variation,1781424171-218-XS,Pink Striped Pajama - XS,1,0,visible,,,taxable,parent,1,9,0,0,0,1350.00,,,,1781424171-218,Size,XS,,1,,,,,,,,,,,
variation,1781424171-218-S,Pink Striped Pajama - S,1,0,visible,,,taxable,parent,0,0,0,0,0,1350.00,,,,1781424171-218,Size,S,,1,,,,,,,,,,,
variation,1781424171-218-M,Pink Striped Pajama - M,1,0,visible,,,taxable,parent,1,2,0,0,0,1350.00,,,,1781424171-218,Size,M,,1,,,,,,,,,,,
variation,1781424171-218-L,Pink Striped Pajama - L,1,0,visible,,,taxable,parent,0,0,0,0,0,1350.00,,,,1781424171-218,Size,L,,1,,,,,,,,,,,
variation,1781424171-218-XL,Pink Striped Pajama - XL,1,0,visible,,,taxable,parent,0,0,0,0,0,1350.00,,,,1781424171-218,Size,XL,,1,,,,,,,,,,,
variable,1781423710-47,Indigo Cotton Pajama,1,0,visible,A rich indigo cotton pajama set with a delicate bow detail for relaxed comfort with a polished feminine edge.,"Deep indigo gives this cotton pajama set a refined, versatile look, while the bow detail adds a soft feminine accent. Designed for comfortable nights and effortless at-home dressing, it is an easy wardrobe staple that feels elevated without trying too hard.",taxable,,1,,0,0,1,1250.00,Pajama-Pants-Set,"Cotton, Indigo, Bow Detail, Relaxed Fit, Long Set, Timeless, Lounge Essential","https://qamareen.vitaldc.com/wp-content/uploads/2026/09/1781423710-47-1.webp, https://qamareen.vitaldc.com/wp-content/uploads/2026/09/1781423710-47-2.webp, https://qamareen.vitaldc.com/wp-content/uploads/2026/09/1781423710-47-3.webp, https://qamareen.vitaldc.com/wp-content/uploads/2026/09/1781423710-47-4.webp, https://qamareen.vitaldc.com/wp-content/uploads/2026/09/1781423710-47-5.webp",,Size,"XS, S, M, L, XL",1,1,Cotton Essentials,Cotton,2-piece pajama set,Relaxed,Coordinated cotton top,Coordinated pajama pants,Bow detail,All-season / transitional,Follow garment care label,https://www.trendyol.com/bella-notte/indigo-pamuklu-fiyonk-detayli-pijama-takimi-p-892245412,https://www.trendyol.com/bella-notte/indigo-pamuklu-fiyonk-detayli-pijama-takimi-p-892245412
variation,1781423710-47-XS,Indigo Cotton Pajama - XS,1,0,visible,,,taxable,parent,1,9,0,0,0,1250.00,,,,1781423710-47,Size,XS,,1,,,,,,,,,,,
